,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Setting flow rate,,,,Machine flow rate,,,,,,,,Setting Pressure,,,,Machine Pressure,
,Time (s),Value(cm3),,,Time (s),Value(cm3),,,,,,,Time (s),Pressure (bar),,,Time (s),Pressure (bar)
,0,0,,,0,0,,,,,,,0,0,,,0,0
,0.0318471,0,,,0.0477707,0,,,,,,,0.024,0,,,0.048,4.05405
,0.0875796,22.2973,,,0.0796178,1.21622,,,,,,,0.04,1195.95,,,0.08,44.5946
,0.111465,29.3243,,,0.119427,24.3243,,,,,,,1.392,1195.95,,,0.112,36.4865
,0.13535,29.8649,,,0.159236,36.2162,,,,,,,1.408,397.297,,,0.12,68.9189
,1.38535,29.8649,,,0.183121,37.1622,,,,,,,2.408,198.649,,,0.152,56.7568
,1.40127,14.8649,,,0.230892,31.6216,,,,,,,5,198.649,,,0.168,72.973
,,,,,0.246815,28.5135,,,,,,,,,,,0.208,48.6486
,,,,,0.262739,25.5405,,,,,,,,,,,0.24,56.7568
,,,,,0.278662,25,,,,,,,,,,,0.32,324.324
,,,,,0.302548,27.5676,,,,,,,,,,,0.344,344.595
,,,,,0.342357,33.9189,,,,,,,,,,,0.392,336.486
,,,,,0.35828,35.1351,,,,,,,,,,,0.424,308.108
,,,,,0.437898,30.5405,,,,,,,,,,,0.464,300
,,,,,0.461783,30.6757,,,,,,,,,,,0.52,344.595
,,,,,0.477707,29.1892,,,,,,,,,,,0.56,348.649
,,,,,0.493631,29.7297,,,,,,,,,,,0.896,356.757
,,,,,0.58121,31.3514,,,,,,,,,,,0.96,368.919
,,,,,0.621019,30.2703,,,,,,,,,,,1.328,360.811
,,,,,0.644904,30.8108,,,,,,,,,,,1.408,381.081
,,,,,0.684713,30.4054,,,,,,,,,,,1.44,372.973
,,,,,0.700637,29.4595,,,,,,,,,,,1.472,397.297
,,,,,0.716561,30.4054,,,,,,,,,,,1.52,397.297
,,,,,0.740446,30.9459,,,,,,,,,,,1.656,356.757
,,,,,0.764331,30.9459,,,,,,,,,,,2.44,198.649
,,,,,0.80414,30.1351,,,,,,,,,,,5,198.649
,,,,,0.899682,30.5405,,,,,,,,,,,,
,,,,,0.963376,30,,,,,,,,,,,,
,,,,,0.995223,30.2703,,,,,,,,,,,,
,,,,,1.01911,31.4865,,,,,,,,,,,,
,,,,,1.04299,29.4595,,,,,,,,,,,,
,,,,,1.06688,30.4054,,,,,,,,,,,,
,,,,,1.09873,30.8108,,,,,,,,,,,,
,,,,,1.12261,29.7297,,,,,,,,,,,,
,,,,,1.13854,30.4054,,,,,,,,,,,,
,,,,,1.16242,30.4054,,,,,,,,,,,,
,,,,,1.17834,30.8108,,,,,,,,,,,,
,,,,,1.20223,29.8649,,,,,,,,,,,,
,,,,,1.21815,30.5405,,,,,,,,,,,,
,,,,,1.24204,30.1351,,,,,,,,,,,,
,,,,,1.26592,30.5405,,,,,,,,,,,,
,,,,,1.30573,30.5405,,,,,,,,,,,,
,,,,,1.34554,30,,,,,,,,,,,,
,,,,,1.38535,30.1351,,,,,,,,,,,,
,,,,,1.42516,18.2432,,,,,,,,,,,,
,,,,,1.44904,8.10811,,,,,,,,,,,,
,,,,,1.47293,2.2973,,,,,,,,,,,,
,,,,,1.51274,0.945946,,,,,,,,,,,,
,,,,,1.55255,0.27027,,,,,,,,,,,,
,,,,,1.60828,0.135135,,,,,,,,,,,,
,,,,,1.64013,0,,,,,,,,,,,,
,,,,,5,0,,,,,,,,,,,,
