,,,,,,,,,,,,,,,,,,
,Setting flow rate,,,,Machine flow rate,,,,,,,,Setting Pressure,,,,Machine Pressure,
,Time (s),Value(cm3),,,Time (s),Value(cm3),,,,,,,Time (s),Pressure (bar),,,Time (s),Pressure (bar)
0,0,0,,,0,0,,,,,,,0,0,,,0,0
1,0.0238854,0,,,0.0318471,0,,,,,,,0.024,0,,,0.024,0
2,0.119427,29.8649,,,0.0477707,0.135135,,,,,,,0.04,1195.95,,,0.024,4.05405
3,0.501592,29.8649,,,0.0557325,0.27027,,,,,,,0.504,1195.95,,,0.048,4.05405
4,1.00318,29.8649,,,0.0557325,0.405405,,,,,,,1.008,1195.95,,,0.048,8.10811
5,1.38535,29.8649,,,0.0636943,0.540541,,,,,,,1.392,1195.95,,,0.056,8.10811
6,1.40127,14.8649,,,0.0636943,0.675676,,,,,,,1.408,397.297,,,0.056,16.2162
7,2.00637,14.8649,,,0.0716561,0.810811,,,,,,,2.408,198.649,,,0.064,16.2162
8,2.50796,14.8649,,,0.0716561,1.08108,,,,,,,2.52,198.649,,,0.064,24.3243
9,3.00955,14.8649,,,0.0796178,1.21622,,,,,,,3.024,198.649,,,0.072,24.3243
10,3.51115,14.8649,,,0.0796178,2.7027,,,,,,,3.528,198.649,,,0.072,40.5405
11,4.01274,14.8649,,,0.0875796,2.83784,,,,,,,4.032,198.649,,,0.08,40.5405
12,4.51433,14.8649,,,0.0875796,5.67568,,,,,,,4.536,198.649,,,0.08,48.6486
13,5,14.8649,,,0.0955414,5.81081,,,,,,,5,198.649,,,0.088,48.6486
14,,,,,0.0955414,8.64865,,,,,,,,,,,0.088,44.5946
15,,,,,0.103503,8.78378,,,,,,,,,,,0.104,44.5946
16,,,,,0.103503,13.2432,,,,,,,,,,,0.104,36.4865
17,,,,,0.111465,13.3784,,,,,,,,,,,0.112,36.4865
18,,,,,0.111465,19.7297,,,,,,,,,,,0.112,60.8108
19,,,,,0.119427,19.8649,,,,,,,,,,,0.12,60.8108
20,,,,,0.119427,24.3243,,,,,,,,,,,0.12,68.9189
21,,,,,0.127389,24.4595,,,,,,,,,,,0.128,68.9189
22,,,,,0.127389,27.1622,,,,,,,,,,,0.128,64.8649
23,,,,,0.13535,27.2973,,,,,,,,,,,0.144,64.8649
24,,,,,0.13535,30,,,,,,,,,,,0.144,56.7568
25,,,,,0.143312,30.1351,,,,,,,,,,,0.152,56.7568
26,,,,,0.143312,32.5676,,,,,,,,,,,0.152,68.9189
27,,,,,0.151274,32.7027,,,,,,,,,,,0.16,68.9189
28,,,,,0.151274,34.8649,,,,,,,,,,,0.16,72.973
29,,,,,0.159236,35,,,,,,,,,,,0.168,72.973
30,,,,,0.159236,36.2162,,,,,,,,,,,0.168,68.9189
31,,,,,0.167197,36.4865,,,,,,,,,,,0.176,64.8649
32,,,,,0.167197,36.3514,,,,,,,,,,,0.176,68.9189
33,,,,,0.175159,36.6216,,,,,,,,,,,0.184,64.8649
34,,,,,0.183121,37.1622,,,,,,,,,,,0.184,60.8108
35,,,,,0.191083,35.2703,,,,,,,,,,,0.192,60.8108
36,,,,,0.191083,36.4865,,,,,,,,,,,0.192,56.7568
37,,,,,0.199045,35.1351,,,,,,,,,,,0.2,56.7568
38,,,,,0.199045,34.3243,,,,,,,,,,,0.2,48.6486
39,,,,,0.207006,34.1892,,,,,,,,,,,0.208,48.6486
40,,,,,0.207006,33.6486,,,,,,,,,,,0.208,52.7027
41,,,,,0.214968,33.5135,,,,,,,,,,,0.224,52.7027
42,,,,,0.214968,32.973,,,,,,,,,,,0.224,56.7568
43,,,,,0.22293,32.2973,,,,,,,,,,,0.232,56.7568
44,,,,,0.22293,32.8378,,,,,,,,,,,0.232,60.8108
45,,,,,0.230892,32.1622,,,,,,,,,,,0.24,60.8108
46,,,,,0.230892,31.6216,,,,,,,,,,,0.24,72.973
47,,,,,0.238854,31.4865,,,,,,,,,,,0.248,97.2973
48,,,,,0.238854,30.4054,,,,,,,,,,,0.248,72.973
49,,,,,0.246815,30.2703,,,,,,,,,,,0.256,97.2973
50,,,,,0.246815,28.5135,,,,,,,,,,,0.256,121.622
51,,,,,0.254777,28.3784,,,,,,,,,,,0.264,121.622
52,,,,,0.254777,26.6216,,,,,,,,,,,0.264,150
53,,,,,0.262739,26.4865,,,,,,,,,,,0.272,150
54,,,,,0.262739,25.5405,,,,,,,,,,,0.272,182.432
55,,,,,0.270701,25.2703,,,,,,,,,,,0.28,210.811
56,,,,,0.278662,25,,,,,,,,,,,0.28,182.432
57,,,,,0.286624,25.4054,,,,,,,,,,,0.288,210.811
58,,,,,0.286624,25.8108,,,,,,,,,,,0.288,231.081
59,,,,,0.294586,26.4865,,,,,,,,,,,0.296,251.351
60,,,,,0.294586,25.9459,,,,,,,,,,,0.296,231.081
61,,,,,0.302548,27.5676,,,,,,,,,,,0.304,275.676
62,,,,,0.302548,26.6216,,,,,,,,,,,0.304,251.351
63,,,,,0.31051,29.1892,,,,,,,,,,,0.312,275.676
64,,,,,0.31051,27.7027,,,,,,,,,,,0.312,308.108
65,,,,,0.318471,30.6757,,,,,,,,,,,0.32,324.324
66,,,,,0.318471,29.3243,,,,,,,,,,,0.32,308.108
67,,,,,0.326433,31.7568,,,,,,,,,,,0.328,324.324
68,,,,,0.326433,30.8108,,,,,,,,,,,0.328,332.432
69,,,,,0.334395,31.8919,,,,,,,,,,,0.336,332.432
70,,,,,0.334395,32.973,,,,,,,,,,,0.336,340.541
71,,,,,0.342357,33.1081,,,,,,,,,,,0.344,340.541
72,,,,,0.342357,33.9189,,,,,,,,,,,0.344,344.595
73,,,,,0.350318,34.7297,,,,,,,,,,,0.352,344.595
74,,,,,0.350318,34.0541,,,,,,,,,,,0.352,340.541
75,,,,,0.35828,35.1351,,,,,,,,,,,0.368,340.541
76,,,,,0.366242,34.8649,,,,,,,,,,,0.368,336.486
77,,,,,0.366242,34.5946,,,,,,,,,,,0.392,336.486
78,,,,,0.374204,34.4595,,,,,,,,,,,0.392,328.378
79,,,,,0.374204,34.1892,,,,,,,,,,,0.4,328.378
80,,,,,0.382166,33.6486,,,,,,,,,,,0.4,320.27
81,,,,,0.382166,34.0541,,,,,,,,,,,0.408,312.162
82,,,,,0.390127,33.5135,,,,,,,,,,,0.408,320.27
83,,,,,0.390127,32.973,,,,,,,,,,,0.424,312.162
84,,,,,0.398089,32.4324,,,,,,,,,,,0.424,308.108
85,,,,,0.398089,32.8378,,,,,,,,,,,0.472,308.108
86,,,,,0.406051,32.1622,,,,,,,,,,,0.472,316.216
