,,,,,,,,,,,,,,,,,,
,Setting flow rate,,,,Machine flow rate,,,,,,,,,,,,,
,Time (s),Value(cm3),,,Time (s),Value(cm3),,,,,,,,,,,,
1,0.000,0.000,,1,0.000,0.000,,,,,,,,,,,,
2,0.024,0.000,,2,0.040,0.000,,,,,,,,,,,,
3,0.119,29.865,,3,0.080,1.216,,,,,,,,,,,,
4,0.287,29.865,,4,0.111,13.243,,,,,,,,,,,,
5,0.502,29.865,,5,0.119,24.324,,,,,,,,,,,,
6,0.780,29.865,,6,0.159,36.216,,,,,,,,,,,,
7,1.003,29.865,,7,0.183,37.162,,,,,,,,,,,,
8,1.194,29.865,,8,0.207,33.649,,,,,,,,,,,,
9,1.385,29.865,,9,0.247,30.270,,,,,,,,,,,,
10,1.409,15.000,,10,0.263,25.541,,,,,,,,,,,,
11,1.728,15.000,,11,0.279,25.000,,,,,,,,,,,,
12,2.006,15.000,,12,0.287,25.811,,,,,,,,,,,,
13,2.261,15.000,,13,0.318,30.541,,,,,,,,,,,,
14,2.508,15.000,,14,0.334,32.973,,,,,,,,,,,,
15,2.755,15.000,,15,0.358,35.135,,,,,,,,,,,,
16,3.010,15.000,,16,0.398,32.432,,,,,,,,,,,,
17,3.280,15.000,,17,0.438,30.811,,,,,,,,,,,,
18,3.511,15.000,,18,0.446,30.541,,,,,,,,,,,,
19,3.798,15.000,,19,0.462,30.676,,,,,,,,,,,,
20,4.005,15.000,,20,0.478,29.189,,,,,,,,,,,,
21,4.283,15.000,,21,0.494,29.865,,,,,,,,,,,,
22,4.514,15.000,,22,0.510,30.000,,,,,,,,,,,,
23,4.793,15.000,,23,0.549,30.811,,,,,,,,,,,,
24,5.000,15.000,,24,0.581,31.351,,,,,,,,,,,,
,,,,25,0.605,30.676,,,,,,,,,,,,
,,,,26,0.621,30.270,,,,,,,,,,,,
,,,,27,0.645,30.811,,,,,,,,,,,,
,,,,28,0.685,30.405,,,,,,,,,,,,
,,,,29,0.701,29.460,,,,,,,,,,,,
,,,,30,0.709,30.000,,,,,,,,,,,,
,,,,31,0.717,30.270,,,,,,,,,,,,  
,,,,32,0.740,30.946,,,,,,,,,,,,
,,,,33,0.764,30.946,,,,,,,,,,,,
,,,,34,0.796,30.405,,,,,,,,,,,,
,,,,35,0.804,30.135,,,,,,,,,,,,
,,,,36,0.828,30.135,,,,,,,,,,,,
,,,,37,0.852,30.270,,,,,,,,,,,,
,,,,38,0.892,30.541,,,,,,,,,,,,
,,,,39,0.924,30.135,,,,,,,,,,,,
,,,,40,0.947,30.135,,,,,,,,,,,,
,,,,41,0.955,30.000,,,,,,,,,,,,
,,,,42,0.995,30.270,,,,,,,,,,,,
,,,,43,1.019,31.487,,,,,,,,,,,,
,,,,44,1.043,29.460,,,,,,,,,,,,
,,,,45,1.059,30.270,,,,,,,,,,,,
,,,,46,1.099,30.811,,,,,,,,,,,,
,,,,47,1.123,29.730,,,,,,,,,,,,
,,,,48,1.139,30.405,,,,,,,,,,,,
,,,,49,1.162,30.405,,,,,,,,,,,,
,,,,50,1.178,30.811,,,,,,,,,,,,
,,,,51,1.202,30.000,,,,,,,,,,,,
,,,,52,1.218,30.541,,,,,,,,,,,,
,,,,53,1.242,30.135,,,,,,,,,,,,
,,,,54,1.266,30.541,,,,,,,,,,,,
,,,,55,1.306,30.541,,,,,,,,,,,,
,,,,56,1.346,30.000,,,,,,,,,,,,
,,,,57,1.385,30.135,,,,,,,,,,,,
,,,,58,1.417,24.595,,,,,,,,,,,,
,,,,59,1.425,18.243,,,,,,,,,,,,
,,,,60,1.457,6.216,,,,,,,,,,,,
,,,,61,1.481,1.757,,,,,,,,,,,,
,,,,62,1.521,0.541,,,,,,,,,,,,
,,,,63,1.553,0.270,,,,,,,,,,,,
,,,,64,1.592,0.135,,,,,,,,,,,,
,,,,65,1.624,0.000,,,,,,,,,,,,
,,,,66,2.006,0.000,,,,,,,,,,,,
,,,,67,2.508,0.000,,,,,,,,,,,,
,,,,68,3.010,0.000,,,,,,,,,,,,
,,,,69,3.511,0.000,,,,,,,,,,,,
,,,,70,4.013,0.000,,,,,,,,,,,,
,,,,71,4.514,0.000,,,,,,,,,,,,
,,,,72,5.000,0.000,,,,,,,,,,,,
